K_ENTIDAD_MUNICIPIO,K_ENTIDAD,K_MUNICIPIO,ANIO,MES,CONCESIONARIO,EMPRESA,CABLE_COAXIAL,DSL,FIBRA_OPTICA,SATELITAL,TERRESTRE_FIJO_INALAMBRICO,OTRAS_TECNOLOGIAS,SIN_TECNOLOGIA_ESPECIFICADA,ALL_ACCESS,COAX_FO
02002,02,002,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3546,0,0,0,0,0,0,3546,3546
03001,03,001,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3536,0,0,0,0,0,0,3536,3536
03003,03,003,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,19169,0,0,0,0,0,0,19169,19169
03008,03,008,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,21673,0,0,0,0,0,0,21673,21673
04004,04,004,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,747,0,0,0,0,0,0,747,747
05009,05,009,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3321,0,0,0,0,0,0,3321,3321
05017,05,017,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,5614,0,0,0,0,0,0,5614,5614
05033,05,033,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,5954,0,0,0,0,0,0,5954,5954
05035,05,035,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,78690,0,0,0,0,0,0,78690,78690
06002,06,002,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,47696,0,0,0,0,0,0,47696,47696
06005,06,005,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,570,0,0,0,0,0,0,570,570
07009,07,009,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1814,0,0,0,0,0,0,1814,1814
07012,07,012,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4641,0,0,0,0,0,0,4641,4641
07017,07,017,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2467,0,0,0,0,0,0,2467,2467
07019,07,019,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4705,0,0,0,0,0,0,4705,4705
07027,07,027,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3454,0,0,0,0,0,0,3454,3454
07040,07,040,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2338,0,0,0,0,0,0,2338,2338
07061,07,061,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1436,0,0,0,0,0,0,1436,1436
07071,07,071,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,356,0,0,0,0,0,0,356,356
07078,07,078,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,6318,0,0,0,0,0,0,6318,6318
07097,07,097,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,11053,0,0,0,0,0,0,11053,11053
07101,07,101,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,54945,0,0,0,0,0,0,54945,54945
07108,07,108,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3694,0,0,0,0,0,0,3694,3694
08005,08,005,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2021,0,0,0,0,0,0,2021,2021
08050,08,050,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,5883,0,0,0,0,0,0,5883,5883
10005,10,005,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,61351,0,0,0,0,0,0,61351,61351
10007,10,007,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,27823,0,0,0,0,0,0,27823,27823
10012,10,012,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,10247,0,0,0,0,0,0,10247,10247
11003,11,003,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,18207,0,0,0,0,0,0,18207,18207
11004,11,004,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3466,0,0,0,0,0,0,3466,3466
11005,11,005,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2985,0,0,0,0,0,0,2985,2985
11007,11,007,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4362,0,0,0,0,0,0,4362,4362
11009,11,009,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4350,0,0,0,0,0,0,4350,4350
11011,11,011,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1721,0,0,0,0,0,0,1721,1721
11014,11,014,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,9725,0,0,0,0,0,0,9725,9725
11015,11,015,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,14955,0,0,0,0,0,0,14955,14955
11020,11,020,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,152520,0,0,0,0,0,0,152520,152520
11023,11,023,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,688,0,0,0,0,0,0,688,688
11026,11,026,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1370,0,0,0,0,0,0,1370,1370
11027,11,027,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,32683,0,0,0,0,0,0,32683,32683
11030,11,030,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2881,0,0,0,0,0,0,2881,2881
11032,11,032,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3822,0,0,0,0,0,0,3822,3822
11033,11,033,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,5176,0,0,0,0,0,0,5176,5176
11035,11,035,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4155,0,0,0,0,0,0,4155,4155
11037,11,037,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,10825,0,0,0,0,0,0,10825,10825
11038,11,038,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,576,0,0,0,0,0,0,576,576
11042,11,042,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,62,0,0,0,0,0,0,62,62
11044,11,044,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,865,0,0,0,0,0,0,865,865
11046,11,046,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,246,0,0,0,0,0,0,246,246
12038,12,038,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,13679,0,0,0,0,0,0,13679,13679
12048,12,048,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2754,0,0,0,0,0,0,2754,2754
13013,13,013,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2714,0,0,0,0,0,0,2714,2714
13022,13,022,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,542,0,0,0,0,0,0,542,542
13030,13,030,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,979,0,0,0,0,0,0,979,979
13039,13,039,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,319,0,0,0,0,0,0,319,319
13045,13,045,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,124,0,0,0,0,0,0,124,124
14002,14,002,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1887,0,0,0,0,0,0,1887,1887
14004,14,004,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,419,0,0,0,0,0,0,419,419
14010,14,010,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,450,0,0,0,0,0,0,450,450
14014,14,014,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,402,0,0,0,0,0,0,402,402
14015,14,015,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3468,0,0,0,0,0,0,3468,3468
14037,14,037,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2093,0,0,0,0,0,0,2093,2093
14039,14,039,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,133140,0,0,0,0,0,0,133140,133140
14044,14,044,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,7807,0,0,0,0,0,0,7807,7807
14059,14,059,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1735,0,0,0,0,0,0,1735,1735
14082,14,082,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2828,0,0,0,0,0,0,2828,2828
14083,14,083,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,6434,0,0,0,0,0,0,6434,6434
14086,14,086,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,934,0,0,0,0,0,0,934,934
14092,14,092,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1794,0,0,0,0,0,0,1794,1794
14096,14,096,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1248,0,0,0,0,0,0,1248,1248
14097,14,097,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,83327,0,0,0,0,0,0,83327,83327
14098,14,098,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,52284,0,0,0,0,0,0,52284,52284
14101,14,101,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,50272,0,0,0,0,0,0,50272,50272
14102,14,102,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,251,0,0,0,0,0,0,251,251
14107,14,107,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,466,0,0,0,0,0,0,466,466
14110,14,110,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,570,0,0,0,0,0,0,570,570
14112,14,112,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,731,0,0,0,0,0,0,731,731
14114,14,114,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1040,0,0,0,0,0,0,1040,1040
14119,14,119,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,579,0,0,0,0,0,0,579,579
14124,14,124,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3344,0,0,0,0,0,0,3344,3344
15001,15,001,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,843,0,0,0,0,0,0,843,843
15005,15,005,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,5273,0,0,0,0,0,0,5273,5273
15014,15,014,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,8536,0,0,0,0,0,0,8536,8536
15018,15,018,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2775,0,0,0,0,0,0,2775,2775
15023,15,023,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1874,0,0,0,0,0,0,1874,1874
15025,15,025,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2284,0,0,0,0,0,0,2284,2284
15035,15,035,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,13387,0,0,0,0,0,0,13387,13387
15036,15,036,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,437,0,0,0,0,0,0,437,437
15037,15,037,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4429,0,0,0,0,0,0,4429,4429
15040,15,040,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1303,0,0,0,0,0,0,1303,1303
15042,15,042,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3629,0,0,0,0,0,0,3629,3629
15043,15,043,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1492,0,0,0,0,0,0,1492,1492
15048,15,048,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2231,0,0,0,0,0,0,2231,2231
15049,15,049,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,873,0,0,0,0,0,0,873,873
15051,15,051,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,8447,0,0,0,0,0,0,8447,8447
15054,15,054,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,14552,0,0,0,0,0,0,14552,14552
15055,15,055,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2234,0,0,0,0,0,0,2234,2234
15059,15,059,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,477,0,0,0,0,0,0,477,477
15060,15,060,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,16060,0,0,0,0,0,0,16060,16060
15062,15,062,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,5068,0,0,0,0,0,0,5068,5068
15064,15,064,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,27,0,0,0,0,0,0,27,27
15067,15,067,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1987,0,0,0,0,0,0,1987,1987
15072,15,072,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,40455,0,0,0,0,0,0,40455,40455
15073,15,073,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2343,0,0,0,0,0,0,2343,2343
15076,15,076,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,6154,0,0,0,0,0,0,6154,6154
15078,15,078,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,413,0,0,0,0,0,0,413,413
15085,15,085,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1561,0,0,0,0,0,0,1561,1561
15087,15,087,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3489,0,0,0,0,0,0,3489,3489
15088,15,088,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,6901,0,0,0,0,0,0,6901,6901
15090,15,090,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,5277,0,0,0,0,0,0,5277,5277
15101,15,101,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,9653,0,0,0,0,0,0,9653,9653
15104,15,104,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,12329,0,0,0,0,0,0,12329,12329
15106,15,106,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,56140,0,0,0,0,0,0,56140,56140
15108,15,108,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2350,0,0,0,0,0,0,2350,2350
15110,15,110,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,5154,0,0,0,0,0,0,5154,5154
15113,15,113,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,311,0,0,0,0,0,0,311,311
15115,15,115,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4780,0,0,0,0,0,0,4780,4780
15118,15,118,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,12715,0,0,0,0,0,0,12715,12715
15120,15,120,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,20360,0,0,0,0,0,0,20360,20360
16001,16,001,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,819,0,0,0,0,0,0,819,819
16004,16,004,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,695,0,0,0,0,0,0,695,695
16005,16,005,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,311,0,0,0,0,0,0,311,311
16020,16,020,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1094,0,0,0,0,0,0,1094,1094
16022,16,022,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1013,0,0,0,0,0,0,1013,1013
16023,16,023,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1047,0,0,0,0,0,0,1047,1047
16025,16,025,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2205,0,0,0,0,0,0,2205,2205
16028,16,028,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1357,0,0,0,0,0,0,1357,1357
16034,16,034,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,6603,0,0,0,0,0,0,6603,6603
16036,16,036,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1060,0,0,0,0,0,0,1060,1060
16040,16,040,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,757,0,0,0,0,0,0,757,757
16043,16,043,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,7611,0,0,0,0,0,0,7611,7611
16045,16,045,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4628,0,0,0,0,0,0,4628,4628
16050,16,050,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,3585,0,0,0,0,0,0,3585,3585
16051,16,051,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1961,0,0,0,0,0,0,1961,1961
16053,16,053,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,88248,0,0,0,0,0,0,88248,88248
16060,16,060,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1008,0,0,0,0,0,0,1008,1008
16062,16,062,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,910,0,0,0,0,0,0,910,910
16066,16,066,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,7868,0,0,0,0,0,0,7868,7868
16069,16,069,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,11220,0,0,0,0,0,0,11220,11220
16071,16,071,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,4613,0,0,0,0,0,0,4613,4613
16073,16,073,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,1141,0,0,0,0,0,0,1141,1141
16074,16,074,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,777,0,0,0,0,0,0,777,777
16076,16,076,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,7726,0,0,0,0,0,0,7726,7726
16079,16,079,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,367,0,0,0,0,0,0,367,367
16085,16,085,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,2266,0,0,0,0,0,0,2266,2266
16086,16,086,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,495,0,0,0,0,0,0,495,495
16087,16,087,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,526,0,0,0,0,0,0,526,526
16088,16,088,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,9839,0,0,0,0,0,0,9839,9839
16094,16,094,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,709,0,0,0,0,0,0,709,709
16098,16,098,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,9401,0,0,0,0,0,0,9401,9401
16100,16,100,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,560,0,0,0,0,0,0,560,560
16102,16,102,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,39351,0,0,0,0,0,0,39351,39351
16103,16,103,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,810,0,0,0,0,0,0,810,810
16104,16,104,2019,06,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,645,0,0,0,0,0,0,645,645
