K_ENTIDAD_MUNICIPIO,HOGARES,POBLACION,SUPERFICIE,DENS_HOGS,DENS_HABS,ANALF,SPRIM,ANOS_PROMEDIO_DE_ESCOLARIDAD,OVSAE,OVSEE,PL<5000,PO2SM,INGRESOPC_ANUAL,DISP_INTERNET,DISP_TV_PAGA,DISP_TEL_CELULAR,DISP_TEL_FIJO,NUM_OPS,CLASS_PEN_BAF_HABS_COAXFO,IS_PEN_BAF_HABS_COAXFO
01001,230559,877190,1178.14,19569.74553109138,19569.74553109138,2.06,9.54,9.96,0.72,0.16,8.73,31.13,4015.86,42.0757125736022,51.496795372831,88.9422993417053,44.0523335591336,3,2,1
01002,10787,46464,547.73,1969.4009822357732,1969.4009822357732,4.47,20.89,7.04,1.17,1.04,100,52.76,1940.21,9.82664318160749,38.0457958653935,71.4749235190507,16.2881245944192,2,1,1
01003,14182,56048,932.74,1520.4665823273367,1520.4665823273367,4.8,24.18,6.71,0.86,0.41,50.76,61.95,2054.38,17.5349428208386,34.2369052661301,71.7986728787237,37.978257800367,2,1,1
01004,3519,15577,129.74,2712.347772468013,2712.347772468013,4.35,16.55,7.89,0.47,0.57,100,49.79,2303.15,9.06507530548451,38.8462631429383,74.1403807899971,15.9136118215402,1,0,0
01010,4882,20245,510.19,956.898410396127,956.898410396127,4.92,21.05,7.05,2.35,1.97,71.33,48.8,1881.66,5.5988515176374,26.5586546349466,71.4725184577522,10.6644790812141,1,0,0
01005,28911,120405,505.14,5723.363819931108,5723.363819931108,3.26,13.73,9.18,0.73,0.37,45.17,33.77,3949.53,34.2233766233766,46.1610389610389,88.6510822510822,38.5523809523809,2,1,1
01006,10769,46473,197.93,5440.812408427221,5440.812408427221,3.41,14.9,8.65,0.9,0.42,31.6,41.48,3102.83,25.3598291391958,43.1794967035007,81.6881790324078,27.5698764973535,1,0,0
01007,12223,53866,376.21,3248.983280614551,3248.983280614551,3.53,14.75,8.37,1.52,0.52,43.06,43.44,2471.99,18.4415159204387,35.0495211590406,76.3935499713514,21.8384218711631,2,1,1
01011,11705,46454,139.09,8415.414479833202,8415.414479833202,2.94,13.77,8.38,0.76,0.41,54.92,35.49,2717.38,21.6800546915057,48.5643479747051,90.1469834216373,16.2963595966501,2,1,1
01008,2104,8896,866.69,242.76269485052322,242.76269485052322,3.2,14.87,7.95,1.23,1.32,100,44.93,2272.73,10.3760114231318,43.5030937648738,78.9623988576868,23.8457877201332,1,0,0
01009,4948,20926,232.07,2132.115310035765,2132.115310035765,4.23,22.13,7.24,0.94,0.63,100,49.39,2176.88,9.23605497170574,32.4171382376717,72.7970897332255,14.2077607113985,1,0,0
02001,143169,486639,53138.79,269.42465193505535,269.42465193505535,3.58,14.67,9.21,8.1,0.99,22.82,29.63,3554.26,44.7931718373707,66.0468904944043,90.6813996316758,38.0563819237852,3,2,1
02002,291763,988417,15653.41,1863.894193022479,1863.894193022479,1.55,9.36,9.83,1.2,0.56,12.86,23.09,4124.4,48.9700648726491,51.0788566152531,91.6823135040532,44.3514629936505,4,2,1
02005,27823,96734,500.34,5560.818643322541,5560.818643322541,2.31,11.56,8.81,7.79,0.42,21.49,25.72,3365.72,46.0792027275111,67.3148252219849,89.0862088344385,33.5731145329886,3,2,1
02003,29767,102406,2687.23,1107.7205896034206,1107.7205896034206,2.32,12.77,8.92,6.75,1.48,29.39,25.36,3898.34,46.1673252018553,63.3327606940388,90.4586840749012,33.8292389623776,3,2,1
02004,475341,1641570,1234.74,38497.254482725104,38497.254482725104,1.69,9.68,9.47,1.72,0.21,3.23,20.47,3936.2,51.2875382656288,57.3906425252363,91.136288887577,41.5809291695831,3,3,1
03001,21436,72564,18331.49,116.93539368594696,116.93539368594696,5.06,20.08,8.08,3.81,2.37,22.03,40.1,3347.45,27.2727272727272,57.6973438084549,86.9014216236438,28.9515525626636,2,1,1
03003,83027,272711,15833.13,524.3877868747368,524.3877868747368,1.86,8.43,10.58,3.72,1.15,12.52,22.24,4756.75,50.719376741157,63.7959936805798,93.8928351764975,46.692555385376,3,2,1
03009,5975,18912,4627.92,129.10767688291932,129.10767688291932,2.49,11.38,9.84,6,3.04,12.03,27.46,3251.32,42.3188405797101,61.8925831202046,86.7178175618073,35.7544757033248,1,0,0
03008,81089,287671,3751.05,2161.7680382826143,2161.7680382826143,1.96,10.66,9.56,12.33,0.58,9.62,17.32,4450.27,43.3678595794827,59.9342554115239,94.5332754450164,31.6243875209328,3,2,1
03002,18307,60171,32058.14,57.105621224437854,57.105621224437854,5.06,20.77,7.91,2.37,1.69,46.34,28.16,3633.64,30.4139864753422,70.1028093902908,87.4979383143658,32.8715157512782,1,1,1
04010,7000,28424,13987.47,50.04479008712798,50.04479008712798,15.29,29.49,5.59,32.35,3.6,100,44.78,1575.6,1.52857142857142,48.6857142857143,41.7,2.7,1,0,0
04001,14209,56537,2102.7,675.7502259000333,675.7502259000333,11.1,23.25,8.06,4.29,0.84,26.28,54.47,2595.79,15.7279639538158,73.9791607997747,68.6355956068713,11.5319628273725,1,1,1
04002,79159,283025,3243.99,2440.173983273685,2440.173983273685,3.98,11.98,9.95,0.83,0.4,9.71,38.21,3951.33,41.8954256622746,61.216033552723,89.1572657562627,31.4253590874063,2,1,1
04011,11592,43879,5669.54,204.46103211195265,204.46103211195265,12.8,30.29,6.02,17.15,9.04,76.18,60.34,1778.43,3.65178262374524,50.0865351332641,39.7282796815507,10.7563170647282,1,0,0
04003,70615,248303,8617.21,819.4647687592621,819.4647687592621,4.08,14.07,9.73,11.23,1.16,17.25,22.42,4743.36,41.3727575693114,69.5327235339998,90.3963695667588,32.2640572927745,3,1,1
04004,24189,90244,6855.46,352.84284351451254,352.84284351451254,10.04,26.32,7.06,4.11,1.66,52.31,56.78,2354.83,12.9249731160559,69.137232194557,74.3609893291421,12.1887666473653,2,1,1
04009,15534,58553,4783.29,324.7555552768074,324.7555552768074,9.55,26.37,6.81,2.4,2.17,45.6,58.84,2344.17,10.360824742268,41.4110824742268,74.1172680412371,14.5360824742268,1,1,1
04005,7651,31230,1274.97,600.0925511972831,600.0925511972831,9.67,25.12,8.01,2.47,2.5,32.95,51.36,2472.95,7.67219971245588,70.1869036727225,65.9521631159325,6.09070709711149,2,1,1
04006,9307,40100,7779.88,119.62909453616251,119.62909453616251,10.12,35.91,6.06,2.15,2.46,80.69,66.58,1815.79,5.84883345876787,59.9182883560907,49.1990108590474,9.33232985700462,1,0,0
04007,2461,8971,2143.17,114.8299015010475,114.8299015010475,9.87,24.68,7.24,23.4,1.95,100,59.81,2102.97,6.82649329540837,64.9735879723689,76.757415684681,9.50832994717594,1,0,0
04008,2754,10665,1058.54,260.1696676554499,260.1696676554499,10.92,23.47,7.57,1.85,1.23,22.52,63.63,2600.88,30.2469135802469,68.4458968772694,69.7893972403776,3.81263616557734,1,0,0
05001,345,1015,743.14,46.42463062141723,46.42463062141723,2.6,14.14,7.76,0.69,0,100,43.35,8981.33,5.79710144927536,33.9130434782608,72.463768115942,36.8115942028985,0,0,0
05002,40869,147809,11464.07,356.4964275340259,356.4964275340259,1.76,10.86,8.41,0.89,0.83,1.84,44.27,3162.3,22.2703575886629,44.5113444452603,89.0594023056024,24.744841765181,1,1,1
05003,6421,22654,251.64,2551.661103163249,2551.661103163249,2.05,11.03,8.44,0.17,0.04,8.74,28.02,3141.27,31.3814047656128,48.9331879769506,81.6383740850334,45.1798785235944,1,0,0
05004,6414,23271,1635.34,392.2120170729023,392.2120170729023,5.31,20.55,7.26,3.47,0.38,62.54,40.11,2909.25,18.0698472092298,43.7168693483005,72.778297474275,22.1234798877455,2,1,1
05005,520,1720,2118.82,24.541962035472572,24.541962035472572,6.62,25.65,6.64,1.22,0.99,100,43.54,5573.83,13.6801541425818,59.9229287090558,76.300578034682,25.2408477842003,1,0,0
05006,7810,28068,3343.06,233.61830179536116,233.61830179536116,1.86,10.73,8.65,4.03,0.41,8.66,24.76,3373.23,23.1804202972834,37.7242439774474,78.9851358277806,30.4074833418759,1,0,0
05007,3906,13546,10672.26,36.59955810671779,36.59955810671779,4.15,17.05,7.79,5.35,1.85,20.78,41.16,2982.53,18.5611879160266,45.3405017921147,76.1136712749616,21.9150025601638,1,0,0
05008,878,3077,1024.91,85.66605848318389,85.66605848318389,3.3,17.17,7.2,11.57,0.36,100,36.43,2173.44,10.4783599088838,40.8883826879271,78.4738041002278,21.8678815489749,1,0,0
05009,15224,58360,2810.06,541.7677914350583,541.7677914350583,3.77,16.74,8.12,2.32,0.18,52.17,44.71,2895.61,16.9262106577304,30.1662395689598,78.7765293383271,15.0995466193573,2,1,1
05010,21705,80991,457.46,4744.677130240895,4744.677130240895,1.46,7.92,9.22,1.39,0.08,7.65,19.27,4261.04,33.2043307993549,42.5754434462105,86.6252015664593,39.3595945634646,2,1,1
05011,3439,12471,2640.86,130.2227304741637,130.2227304741637,6.56,21.11,6.91,1.45,1.3,100,38.4,1906.13,6.83338179703402,63.2742076184937,64.9607444024425,9.42134341378307,1,0,0
05012,511,1697,2926.73,17.459758843487442,17.459758843487442,6.75,27.17,6.43,2.12,1.06,100,40.82,2221.17,11.3502935420743,46.771037181996,83.7573385518591,21.33072407045,1,0,0
05013,429,1565,1129.81,37.97098627202804,37.97098627202804,6.92,23.31,6.82,1.21,0.77,100,21.86,3161.87,4.19580419580419,42.4242424242424,89.5104895104895,8.39160839160839,0,0,0
05014,2887,10243,2200.92,131.17241880668084,131.17241880668084,3.81,23.77,6.14,7.67,3.32,100,54.8,2269.28,8.41704191201939,29.857984066505,84.3089712504329,8.13993765154139,1,0,0
05015,456,1574,2458.15,18.550535972174195,18.550535972174195,2.11,18.66,7.03,2.41,1.27,100,32.89,3538.31,0.6578947368421,57.6754385964912,69.7368421052631,40.7894736842105,0,0,0
05016,538,1773,673.36,79.89782582868004,79.89782582868004,3.71,13.98,8.15,0.63,0.23,100,40.63,7148.45,5.76208178438661,62.8252788104089,77.6951672862453,21.3754646840148,1,0,0
