HOGARES,POBLACION,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,SUPERFICIE,DISP_INTERNET,DISP_TV_PAGA,DISP_TEL_CELULAR,DISP_TEL_FIJO,DENS_HOGS,DENS_HABS,REG_SOCIOECONOM,ANOS_PROMEDIO_DE_ESCOLARIDAD,INGRESOPC_ANUAL
230559,877190,2.06,9.54,0.31,0.16,0.72,18.01,0.63,8.73,31.13,1178.14,42.0757125736022,51.496795372831,88.9422993417053,44.0523335591336,19569.74553109138,19569.74553109138,1,9.96,4015.86
10787,46464,4.47,20.89,3.84,1.04,1.17,30.64,1.69,100,52.76,547.73,9.82664318160749,38.0457958653935,71.4749235190507,16.2881245944192,1969.4009822357732,1969.4009822357732,1,7.04,1940.21
14182,56048,4.8,24.18,0.55,0.41,0.86,30.53,0.93,50.76,61.95,932.74,17.5349428208386,34.2369052661301,71.7986728787237,37.978257800367,1520.4665823273367,1520.4665823273367,1,6.71,2054.38
3519,15577,4.35,16.55,1.24,0.57,0.47,34.62,1.42,100,49.79,129.74,9.06507530548451,38.8462631429383,74.1403807899971,15.9136118215402,2712.347772468013,2712.347772468013,1,7.89,2303.15
4882,20245,4.92,21.05,4.89,1.97,2.35,32.57,1.65,71.33,48.8,510.19,5.5988515176374,26.5586546349466,71.4725184577522,10.6644790812141,956.898410396127,956.898410396127,1,7.05,1881.66
28911,120405,3.26,13.73,0.44,0.37,0.73,27.02,1.03,45.17,33.77,505.14,34.2233766233766,46.1610389610389,88.6510822510822,38.5523809523809,5723.363819931108,5723.363819931108,1,9.18,3949.53
10769,46473,3.41,14.9,1,0.42,0.9,32.24,0.62,31.6,41.48,197.93,25.3598291391958,43.1794967035007,81.6881790324078,27.5698764973535,5440.812408427221,5440.812408427221,1,8.65,3102.83
12223,53866,3.53,14.75,1.97,0.52,1.52,31.61,0.91,43.06,43.44,376.21,18.4415159204387,35.0495211590406,76.3935499713514,21.8384218711631,3248.983280614551,3248.983280614551,1,8.37,2471.99
11705,46454,2.94,13.77,0.13,0.41,0.76,31.28,0.46,54.92,35.49,139.09,21.6800546915057,48.5643479747051,90.1469834216373,16.2963595966501,8415.414479833202,8415.414479833202,1,8.38,2717.38
2104,8896,3.2,14.87,3.51,1.32,1.23,34.06,0.44,100,44.93,866.69,10.3760114231318,43.5030937648738,78.9623988576868,23.8457877201332,242.76269485052322,242.76269485052322,1,7.95,2272.73
4948,20926,4.23,22.13,1.85,0.63,0.94,33.64,1,100,49.39,232.07,9.23605497170574,32.4171382376717,72.7970897332255,14.2077607113985,2132.115310035765,2132.115310035765,1,7.24,2176.88
143169,486639,3.58,14.67,0.4,0.99,8.1,22.57,1.28,22.82,29.63,53138.79,44.7931718373707,66.0468904944043,90.6813996316758,38.0563819237852,269.42465193505535,269.42465193505535,4,9.21,3554.26
