K_ENTIDAD_MUNICIPIO,PO2SM,IM,GM
01001,31.13,-1.676,Muy bajo
01005,33.77,-1.256,Muy bajo
01003,61.95,-0.698,Bajo
01007,43.44,-1.045,Bajo
01006,41.48,-1.129,Muy bajo
01002,52.76,-0.565,Bajo
01011,35.49,-1.156,Muy bajo
01009,49.39,-0.595,Bajo
01010,48.8,-0.614,Bajo
01004,49.79,-0.674,Bajo
01008,44.93,-0.735,Bajo
02004,20.47,-1.708,Muy bajo
02002,23.09,-1.648,Muy bajo
02001,29.63,-1.323,Muy bajo
02003,25.36,-1.408,Muy bajo
02005,25.72,-1.463,Muy bajo
03008,17.32,-1.296,Muy bajo
03003,22.24,-1.658,Muy bajo
03001,40.1,-1.017,Bajo
03002,28.16,-1.051,Bajo
03009,27.46,-1.345,Muy bajo
04002,38.21,-1.281,Muy bajo
04003,22.42,-1.186,Muy bajo
04004,56.78,-0.159,Medio
04009,58.84,-0.174,Medio
04001,54.47,-0.248,Medio
04011,60.34,0.769,Alto
04006,66.58,0.361,Alto
04005,51.36,-0.291,Medio
04010,44.78,0.706,Alto
04008,63.63,-0.133,Medio
04007,59.81,0.164,Alto
05030,17.01,-1.823,Muy bajo
05035,31.8,-1.722,Muy bajo
05018,17.88,-1.836,Muy bajo
05025,31.7,-1.531,Muy bajo
05002,44.27,-1.353,Muy bajo
05017,42.72,-1.098,Muy bajo
05033,56.32,-0.823,Bajo
05027,16.54,-1.73,Muy bajo
05010,19.27,-1.663,Muy bajo
05020,33.15,-1.34,Muy bajo
05028,23.73,-1.678,Muy bajo
05009,44.71,-1.021,Bajo
05024,54.54,-0.972,Bajo
05032,29.36,-1.61,Muy bajo
05022,30.23,-1.401,Muy bajo
05006,24.76,-1.484,Muy bajo
05031,21.91,-1.76,Muy bajo
05004,40.11,-0.849,Bajo
05003,28.02,-1.6,Muy bajo
05036,57.4,-0.38,Medio
05007,41.16,-0.992,Bajo
05038,40.06,-1.261,Muy bajo
05011,38.4,-0.624,Bajo
05023,33.26,-0.757,Bajo
05014,54.8,-0.448,Medio
05019,33.02,-1.427,Muy bajo
05034,21.19,-1.014,Bajo
05021,30.49,-1.106,Muy bajo
05037,46.93,-1.186,Muy bajo
05026,32.39,-0.819,Bajo
05008,36.43,-0.773,Bajo
05029,31.71,-1.077,Muy bajo
05016,40.63,-1.012,Bajo
05005,43.54,-0.647,Bajo
05012,40.82,-0.673,Bajo
05015,32.89,-0.958,Bajo
05013,21.86,-0.796,Bajo
05001,43.35,-1.184,Muy bajo
06007,22.39,-1.509,Muy bajo
06002,27.82,-1.595,Muy bajo
06010,24.88,-1.801,Muy bajo
06009,46.58,-0.716,Bajo
06005,35.19,-1.285,Muy bajo
06001,55.33,-0.481,Medio
06003,43.61,-0.873,Bajo
06004,39.65,-0.952,Bajo
06008,33.78,-0.762,Bajo
06006,62.42,-0.261,Medio
07101,35.65,-1.29,Muy bajo
07089,53.34,-0.577,Bajo
07059,62.96,1.417,Muy alto
07078,56.28,-0.729,Bajo
07019,62.25,-0.235,Medio
07031,75.04,2.238,Muy alto
07052,81.13,1.393,Muy alto
07065,63.26,0.475,Alto
07108,70.21,0.205,Alto
07027,52.39,-0.198,Medio
07061,64.37,0.379,Alto
07097,65.01,-0.028,Medio
07023,85.33,1.993,Muy alto
07017,65.75,0.004,Medio
07107,79.99,0.772,Alto
07096,82.29,1.589,Muy alto
07099,71.53,0.681,Alto
07034,76.66,0.336,Alto
07057,62.96,0.258,Alto
07106,79.9,0.851,Alto
07077,82.11,1.484,Muy alto
07040,67.45,0.141,Alto
07069,70.55,0.51,Alto
07012,57.02,0.152,Alto
07064,56.77,2.078,Muy alto
07051,66.85,0.249,Alto
07020,79.38,1.063,Alto
07015,71.42,0.092,Alto
07074,28.05,-0.901,Bajo
07041,72.43,0.515,Alto
07081,72.89,1.564,Muy alto
07093,81.4,1.266,Muy alto
07094,83.33,1.097,Alto
07102,63.93,0.298,Alto
07092,77.28,0.788,Alto
07111,84.44,1.692,Muy alto
07009,63.41,-0.27,Medio
07026,73.76,1.958,Muy alto
07079,55.82,0.22,Alto
07046,74.06,0.28,Alto
07087,70.72,0.581,Alto
07109,69.01,1.347,Muy alto
07080,88.05,0.992,Alto
07037,64.34,0.513,Alto
07013,77.88,0.658,Alto
07112,77.44,2.6,Muy alto
07030,71.38,0.789,Alto
07100,56.22,1.557,Muy alto
07004,80.61,1.412,Muy alto
07072,58.4,0.849,Alto
07032,70.29,0.314,Alto
07103,78.09,0.616,Alto
07002,64.08,0.276,Alto
07068,63.53,0.123,Alto
07006,70.58,0.508,Alto
07054,76.81,0.822,Alto
07071,71.95,0.73,Alto
07003,71.56,0.739,Alto
07075,80.74,1.394,Muy alto
07008,73.48,0.72,Alto
07044,74.69,0.483,Alto
07076,89.33,1.872,Muy alto
07086,58.23,0.026,Medio
07049,83.83,1.206,Alto
07038,63.75,1.024,Alto
07039,66.98,1.249,Muy alto
07014,82.35,1.261,Muy alto
07066,77.85,2.479,Muy alto
07021,71.16,0.403,Alto
07048,57.3,0.012,Medio
07047,72.06,0.776,Alto
07114,68.8,0.926,Alto
07011,68.79,0.644,Alto
07005,80.41,1.398,Muy alto
07083,78.68,0.862,Alto
07062,69.45,0.72,Alto
07001,66.74,0.237,Alto
07016,70.13,0.578,Alto
07022,84.9,2.853,Muy alto
07105,83.84,0.416,Alto
07104,82.92,0.535,Alto
07035,68.68,0.579,Alto
07070,83.7,0.484,Alto
07082,89.86,3.947,Muy alto
07115,89.87,1.689,Muy alto
07091,65.8,-0.018,Medio
07060,75.62,1.846,Muy alto
07024,47.75,1.475,Muy alto
07067,71.87,1.302,Muy alto
07056,78.8,2.121,Muy alto
07116,59.31,1.182,Alto
07042,83.39,0.49,Alto
07043,66.46,0.596,Alto
07085,69,0.292,Alto
07007,88.96,2.191,Muy alto
07073,50.39,0.509,Alto
07018,77.65,0.746,Alto
07084,78.19,0.863,Alto
07053,64.57,0.348,Alto
07117,82.23,1.01,Alto
07025,62.38,0.343,Alto
07010,76.84,1.08,Alto
07033,86.22,1.11,Alto
07098,82.87,1.435,Muy alto
07110,85.2,1.31,Muy alto
07036,62.2,0.482,Alto
07113,79.08,1.173,Alto
07028,77.29,1.005,Alto
07055,64.83,0.002,Medio
07045,74.49,0.845,Alto
07118,88.15,1.336,Muy alto
07029,44.15,-0.022,Medio
07050,76.25,0.323,Alto
07058,86.27,1.259,Muy alto
07090,49.12,0.444,Alto
07119,75.61,1.566,Muy alto
07063,66.67,0.019,Medio
07088,79.44,0.636,Alto
08037,42.69,-1.522,Muy bajo
08019,20.8,-1.909,Muy bajo
08017,24.88,-1.472,Muy bajo
08021,31.15,-1.587,Muy bajo
08032,33.76,-1.587,Muy bajo
08050,40.11,-1.57,Muy bajo
08029,55.72,2.217,Muy alto
08011,41.32,-1.402,Muy bajo
08027,55.23,2.36,Muy alto
08045,41.67,-1.24,Muy bajo
08036,39.94,-1.37,Muy bajo
08031,44.94,-0.513,Bajo
08062,29.75,-1.227,Muy bajo
08040,44.17,-0.833,Bajo
08052,24.65,-1.513,Muy bajo
08009,48.54,0.838,Alto
08005,40.43,-0.957,Bajo
08002,29.38,-1.495,Muy bajo
08010,44.56,-0.717,Bajo
08048,35.07,-0.938,Bajo
08065,56.74,3.264,Muy alto
08055,42.76,-0.962,Bajo
08007,53.77,2.369,Muy alto
08004,29.52,-1.467,Muy bajo
08001,37.67,-1.164,Muy bajo
08013,51.42,-0.969,Bajo
08008,62.15,5.027,Muy alto
08035,38.04,-0.89,Bajo
08060,24.31,-1.529,Muy bajo
08012,69.82,3.957,Muy alto
08025,51.35,-1.127,Muy bajo
08003,39.11,-0.954,Bajo
08054,24.14,-0.918,Bajo
08046,62.09,2.053,Muy alto
08051,22.36,-0.205,Medio
08020,40.29,0.686,Alto
08030,32.89,0.924,Alto
