K_ENTIDAD_MUNICIPIO,SUPERFICIE
01001,1178.14
01002,547.73
01003,932.74
01004,129.74
01005,505.14
01006,197.93
01007,376.21
01008,866.69
01009,232.07
01010,510.19
01011,139.09
02001,53138.79
02002,15653.41
02003,2687.23
02004,1234.74
02005,500.34
03001,18331.49
03002,32058.14
03003,15833.13
03008,3751.05
03009,4627.92
04001,2102.7
04002,3243.99
04003,8617.21
04004,6855.46
04005,1274.97
04006,7779.88
04007,2143.17
04008,1058.54
04009,4783.29
04010,13987.47
04011,5669.54
05001,743.14
05002,11464.07
05003,251.64
05004,1635.34
05005,2118.82
05006,3343.06
05007,10672.26
05008,1024.91
05009,2810.06
05010,457.46
05011,2640.86
05012,2926.73
05013,1129.81
05014,2200.92
05015,2458.15
05016,673.36
05017,806.03
05018,1251.51
05019,639.14
05020,8288.43
05021,716.57
05022,907.93
05023,26024.4
05024,10620.64
05025,474.44
05026,2886.53
05027,6754.39
05028,1976.24
05029,289.37
05030,5619.58
05031,6443.06
05032,802.41
05033,7143.98
05034,7921.74
05035,1282.75
05036,4401.76
05037,1854.53
05038,7938.74
06001,408.8
06002,746.13
06003,314.51
06004,526.99
06005,412.14
06006,374.93
06007,1357.16
06008,414.9
06009,940.77
06010,287.83
07001,248.04
07002,481.14
07003,559.81
07004,955.11
07005,315.93
07006,253.57
07007,152.12
07008,581.51
07009,807.75
07010,78.72
07011,213.72
07012,351.97
07013,365.21
07014,159.16
07015,174.18
07016,629.73
07017,2440.51
07018,155.01
07019,977.84
07020,2571.82
07021,346.41
07022,185.29
07023,344.51
07024,406.69
07025,181.42
07025,181.42
07026,251.39
07027,830.58
07028,51.4
07029,115.34
07030,996.43
07031,1679.59
07032,416.88
07033,210.09
07034,764.47
07035,94.04
07037,303.17
07038,310.78
07039,339.1
07040,396.13
07041,514.31
07042,94.36
07043,125.25
07044,279.08
07045,107.24
07046,1301.33
07047,235.59
07048,742.8
07049,148.79
07050,456.61
07051,1219.56
07052,3015.4
07053,110.3
07054,382.61
07055,27.23
07056,36.57
07057,584.31
07058,29.53
07059,9488.09
07060,61.14
07061,2095.48
07062,598.49
07063,92.3
07064,416.45
07065,2887.98
07066,192.54
07067,105.67
07068,593.15
07069,1756.61
07070,82.66
07071,445.46
07072,247.43
07073,67.68
07074,434.9
07075,234.81
07076,249.95
07077,1228.24
07078,394.17
07079,359.54
07080,876
07081,313.94
07082,105.4
07083,632.73
07084,156.33
07085,96.08
07086,283.88
07087,236.12
07088,78.34
07089,980.12
07090,66.1
07091,42.59
07092,1256.36
07093,192.48
07094,283.48
07096,801.26
07097,1852.51
07098,168.53
07099,1602.84
07100,402.19
07101,334.94
07102,161.37
07103,174.25
07104,358.2
07105,62.04
07106,1359.99
07107,2754.97
07108,1901.39
07109,209.26
07110,94.04
07111,194.61
07112,173.04
07113,26.81
07114,1092.95
07115,634.94
07116,909.28
07117,197.9
07118,38.34
07119,16.54
08001,16910.05
08002,9216.32
