K_ENTIDAD_MUNICIPIO,K_ENTIDAD,K_MUNICIPIO,VALUE
01001,01,001,1.66
01002,01,002,0.10
01003,01,003,0.60
01004,01,004,0.11
01005,01,005,1.32
01006,01,006,0.82
01007,01,007,0.41
01008,01,008,0.37
01009,01,009,0.00
01010,01,010,-0.23
01011,01,011,0.69
02001,02,001,1.80
02002,02,002,1.85
02003,02,003,1.73
02004,02,004,1.93
02005,02,005,1.76
03001,03,001,1.10
03002,03,002,1.38
03003,03,003,2.10
03008,03,008,1.63
03009,03,009,1.62
04001,04,001,0.53
04002,04,002,1.56
04003,04,003,1.66
04004,04,004,0.48
04005,04,005,0.18
04006,04,006,-0.09
04007,04,007,0.27
04008,04,008,0.71
04009,04,009,0.15
04010,04,010,-0.50
04011,04,011,-0.32
05001,05,001,0.30
05002,05,002,0.78
05003,05,003,1.32
05004,05,004,0.47
05005,05,005,0.63
05006,05,006,0.72
05007,05,007,0.53
05008,05,008,0.31
05009,05,009,0.23
05010,05,010,1.24
05011,05,011,0.13
05012,05,012,0.44
05013,05,013,0.06
05014,05,014,-0.04
05015,05,015,0.48
05016,05,016,0.42
05017,05,017,0.31
05018,05,018,1.82
05019,05,019,1.19
05020,05,020,1.22
05021,05,021,0.10
05022,05,022,1.24
05023,05,023,0.51
05024,05,024,0.67
05025,05,025,1.36
05026,05,026,0.71
05027,05,027,1.32
05028,05,028,1.70
05029,05,029,0.45
05030,05,030,1.70
05031,05,031,1.06
05032,05,032,1.63
05033,05,033,0.35
05034,05,034,0.48
05035,05,035,1.60
05036,05,036,-0.31
05037,05,037,0.61
05038,05,038,0.96
06001,06,001,0.53
06002,06,002,1.88
06003,06,003,0.74
06004,06,004,0.77
06005,06,005,1.09
06006,06,006,0.05
06007,06,007,1.49
06008,06,008,0.45
06009,06,009,0.68
06010,06,010,1.95
07100,07,100,-1.31
07101,07,101,1.34
07102,07,102,-0.21
07103,07,103,-0.32
07104,07,104,-0.50
07105,07,105,-0.34
07106,07,106,-0.74
07107,07,107,-0.23
07108,07,108,-0.13
07109,07,109,-0.35
07110,07,110,-1.16
07111,07,111,-1.10
07112,07,112,-1.33
07113,07,113,-1.34
07114,07,114,-0.18
07115,07,115,-1.13
07116,07,116,-0.89
07117,07,117,-0.84
07118,07,118,-1.42
07119,07,119,-1.16
07001,07,001,-0.29
07002,07,002,-0.51
07003,07,003,-0.36
07004,07,004,-1.05
07005,07,005,-1.24
07006,07,006,-0.39
07007,07,007,-1.26
07008,07,008,-0.71
07009,07,009,0.17
07010,07,010,-1.06
07011,07,011,-0.93
07012,07,012,0.04
07013,07,013,-0.59
07014,07,014,-0.84
07015,07,015,-0.43
07016,07,016,-0.17
07017,07,017,-0.12
07018,07,018,-0.86
07019,07,019,-0.06
07020,07,020,-0.55
07021,07,021,-0.77
07022,07,022,-1.39
07023,07,023,-1.15
07024,07,024,-1.30
07025,07,025,-1.09
07026,07,026,-1.20
07027,07,027,0.17
07028,07,028,-0.76
07029,07,029,-0.19
07030,07,030,-0.70
07031,07,031,-1.20
07032,07,032,-0.41
07033,07,033,-1.19
07034,07,034,-0.43
07035,07,035,-0.60
07036,07,036,-0.58
07037,07,037,-0.41
07038,07,038,-1.18
07039,07,039,-1.27
07040,07,040,-0.09
07041,07,041,-0.71
07042,07,042,-0.71
07043,07,043,-0.47
07044,07,044,-0.66
07045,07,045,-0.96
07046,07,046,-0.37
07047,07,047,-0.90
07048,07,048,0.36
07049,07,049,-0.99
07050,07,050,-0.25
07051,07,051,-0.09
07052,07,052,-0.96
07053,07,053,-0.62
07054,07,054,-0.53
07055,07,055,-0.12
07056,07,056,-1.40
07057,07,057,-0.62
07058,07,058,-1.29
07059,07,059,-0.82
07060,07,060,-1.26
07061,07,061,-0.44
07062,07,062,-0.02
07063,07,063,-0.32
07064,07,064,-1.37
07065,07,065,-0.45
07066,07,066,-1.16
07067,07,067,-1.00
07068,07,068,0.23
07069,07,069,-0.09
07070,07,070,-1.21
07071,07,071,-0.61
07072,07,072,-0.77
07073,07,073,-0.66
07074,07,074,0.51
07075,07,075,-0.72
07076,07,076,-1.36
07077,07,077,-0.97
07078,07,078,0.27
07079,07,079,-0.09
07080,07,080,-1.06
07081,07,081,-0.99
07082,07,082,-1.27
07083,07,083,-0.70
07084,07,084,-0.64
07085,07,085,-0.58
07086,07,086,-0.21
07087,07,087,-0.42
07088,07,088,-0.76
07089,07,089,0.43
07090,07,090,-1.19
07091,07,091,-0.25
07092,07,092,-0.63
07093,07,093,-1.19
07094,07,094,-0.67
07096,07,096,-1.13
07097,07,097,0.06
07098,07,098,-1.15
07099,07,099,-0.65
08001,08,001,0.89
08002,08,002,1.00
08003,08,003,0.75
08004,08,004,0.20
08005,08,005,0.51
08006,08,006,0.37
08007,08,007,-0.47
08008,08,008,-1.14
08009,08,009,-0.11
08011,08,011,1.09
08013,08,013,0.58
08014,08,014,0.21
08015,08,015,0.14
08016,08,016,0.34
08017,08,017,1.31
08018,08,018,0.20
08019,08,019,2.07
08020,08,020,-0.36
08021,08,021,1.46
08022,08,022,0.48
08023,08,023,0.71
08025,08,025,0.67
08026,08,026,0.53
08027,08,027,-0.57
08028,08,028,-0.17
08029,08,029,-0.58
08030,08,030,-0.28
08031,08,031,0.46
08032,08,032,1.71
08033,08,033,0.02
08034,08,034,0.60
08035,08,035,0.46
08036,08,036,0.83
08037,08,037,1.30
08038,08,038,0.56
08039,08,039,0.79
08040,08,040,0.45
08041,08,041,-0.79
08042,08,042,-0.57
08043,08,043,0.20
08044,08,044,0.53
08045,08,045,0.98
08046,08,046,-0.92
08047,08,047,-0.35
08048,08,048,0.55
08049,08,049,-0.11
08050,08,050,1.28
08051,08,051,0.13
08052,08,052,1.13
08053,08,053,-0.35
08054,08,054,0.31
08055,08,055,0.40
08056,08,056,0.39
08057,08,057,0.20
08058,08,058,0.52
08059,08,059,1.18
08060,08,060,1.20
08061,08,061,0.36
08062,08,062,1.07
08064,08,064,0.15
08066,08,066,-0.74
08067,08,067,0.19
09002,09,002,2.41
09003,09,003,2.93
09004,09,004,2.72
09005,09,005,2.08
09006,09,006,2.39
09007,09,007,1.77
09008,09,008,2.15
09009,09,009,0.81
09010,09,010,2.53
09011,09,011,1.73
09012,09,012,2.41
09013,09,013,1.77
09014,09,014,3.53
09015,09,015,2.69
09016,09,016,3.25
09017,09,017,2.29
10001,10,001,0.34
10002,10,002,-0.53
10003,10,003,0.30
10004,10,004,0.53
10005,10,005,1.49
10006,10,006,0.13
10007,10,007,0.87
10008,10,008,0.85
10009,10,009,-0.14
10010,10,010,0.37
10011,10,011,0.46
10012,10,012,0.87
10013,10,013,0.24
10014,10,014,-1.15
10015,10,015,0.43
10016,10,016,0.15
10017,10,017,0.54
