K_ENTIDAD_MUNICIPIO,ANOS_PROMEDIO_DE_ESCOLARIDAD,ANOS_ESPERADOS_DE_ESCOLARIZACIÓN,INGRESOPC_ANUAL,TASA_DE_MORTALIDAD_INFANTIL,INDICE_DE_EDUCACION,INDICE_DE_SALUD,INDICE_DE_INGRESO,IDH
09014,13.83,16.27,9544.92,5.03,0.91,0.97,0.95,0.94
09016,12.95,15.37,8748.64,6.3,0.86,0.96,0.94,0.92
19019,12.79,14.98,9748.53,11.91,0.84,0.91,0.95,0.9
09003,12.18,15.42,5470.09,7.12,0.83,0.95,0.86,0.88
09015,11.91,14.83,6164.74,7.63,0.81,0.95,0.88,0.88
20350,12.02,15.81,4259.79,8.45,0.84,0.94,0.83,0.87
22006,11.5,14.32,5855.11,7.26,0.78,0.95,0.87,0.87
09006,11.22,14.67,5553.65,8.39,0.78,0.94,0.87,0.86
19046,11.13,14.68,5495.05,8.71,0.78,0.94,0.86,0.86
09002,11.04,15.03,4682.48,8.34,0.79,0.94,0.84,0.85
09004,11.35,14.6,4815.84,10.29,0.78,0.93,0.84,0.85
06010,11.05,14.52,4469.63,8.38,0.77,0.94,0.83,0.85
09017,11.06,14.46,4520.47,8.52,0.77,0.94,0.84,0.85
21119,11.03,15.59,4202.9,11.66,0.8,0.92,0.82,0.85
32056,10.91,14.87,4220.58,8.86,0.78,0.94,0.82,0.84
29033,11.71,14.8,3513.88,8.94,0.8,0.94,0.8,0.84
09012,11.16,14.64,4252.02,10.05,0.78,0.93,0.83,0.84
15037,10.92,14.48,4623.63,10.19,0.77,0.93,0.84,0.84
08019,10.57,14.48,4433.65,8.34,0.75,0.94,0.83,0.84
19039,10.61,13.86,5473.11,10.57,0.74,0.92,0.86,0.84
26030,10.89,14.2,5206.14,12.96,0.76,0.9,0.86,0.84
09010,10.72,14.22,4440.91,9.43,0.75,0.93,0.83,0.84
15054,11.17,14.71,3692.04,10.16,0.78,0.93,0.8,0.84
28009,10.78,14.74,4119.24,10.7,0.77,0.92,0.82,0.84
32017,10.82,14.15,4033.95,8.12,0.75,0.95,0.82,0.84
13051,11.03,14.75,4053.05,11.74,0.78,0.91,0.82,0.84
13048,10.77,14.94,4094.11,12.03,0.77,0.91,0.82,0.83
30028,10.55,14.34,4840.39,12.08,0.75,0.91,0.85,0.83
27004,10.46,14.23,4236.01,8.65,0.74,0.94,0.83,0.83
31050,10.4,14.71,4443.57,11.5,0.76,0.92,0.83,0.83
03003,10.58,14.14,4756.75,11.44,0.75,0.92,0.84,0.83
09005,10.51,14.68,3946.49,9.66,0.76,0.93,0.81,0.83
20157,10.89,14.9,3731.73,11.32,0.78,0.92,0.81,0.83
20390,10.82,14.82,3573.67,10.33,0.77,0.93,0.8,0.83
14120,10.61,13.81,4754.27,11.03,0.74,0.92,0.84,0.83
28041,10.71,14.69,4026.17,11.89,0.77,0.91,0.82,0.83
15020,11.03,14.84,3599.11,11.74,0.78,0.91,0.8,0.83
17007,10.72,14.26,4111.29,10.92,0.75,0.92,0.82,0.83
22014,10.38,13.71,4304.38,8.11,0.73,0.95,0.83,0.83
25012,10.04,14.07,4199.72,7.58,0.73,0.95,0.82,0.83
18017,10.41,14.49,4152.83,11.28,0.75,0.92,0.82,0.83
15121,10.73,14.65,3714.46,11.28,0.76,0.92,0.81,0.83
19026,10.38,13.9,4923.09,12.18,0.73,0.91,0.85,0.83
20293,10.86,14.75,3290.5,10.04,0.77,0.93,0.79,0.83
28038,10.68,14.64,4002.99,12.83,0.76,0.91,0.82,0.83
19048,10.02,13.15,4954.15,7.78,0.7,0.95,0.85,0.83
20067,10.61,14.58,3694.44,10.87,0.76,0.92,0.8,0.83
06002,10.17,14.1,4353.37,10.24,0.73,0.93,0.83,0.83
14039,10.12,14,4469.94,10.57,0.73,0.92,0.83,0.82
24028,10.38,13.94,4187.55,10.37,0.73,0.93,0.82,0.82
15024,10.99,14.48,3454.12,11.59,0.77,0.92,0.79,0.82
20091,11.09,14.3,4252.84,15.47,0.77,0.88,0.83,0.82
19006,10.53,13.22,4657.55,10.62,0.72,0.92,0.84,0.82
04002,9.95,14.17,3951.33,8.46,0.73,0.94,0.81,0.82
29036,10.96,14.53,2903.1,8.82,0.77,0.94,0.77,0.82
26038,9.53,15.32,4672.75,14.76,0.74,0.89,0.84,0.82
05035,10.39,13.35,4001.88,8.16,0.72,0.95,0.82,0.82
02002,9.83,13.72,4124.4,7.67,0.71,0.95,0.82,0.82
05030,10.37,13.37,4813.52,12.09,0.72,0.91,0.84,0.82
30087,10.41,14.67,3785.35,13.08,0.75,0.9,0.81,0.82
26043,10.19,13.38,4426.98,9.89,0.71,0.93,0.83,0.82
25006,10.15,14.61,4275.08,14.22,0.74,0.89,0.83,0.82
20409,10.65,14.46,3682.28,13.59,0.76,0.9,0.8,0.82
04003,9.73,13.29,4743.36,9.73,0.69,0.93,0.84,0.82
05018,10.28,13.36,4319.75,11.54,0.71,0.92,0.83,0.82
